STATUS,CLK,DOUT,D0,D1,D2,D3,D4,D5,D6,D7,A0,t
1,1,1,0,0,0,1,0,0,1,1,0.022875,0.141300
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.141400
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.141500
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.141600
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.141700
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.141800
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.141900
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.142000
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.142100
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.142200
1,1,1,0,0,0,1,0,0,1,1,0.021586,0.142300
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.142400
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.142500
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.142600
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.142700
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.142800
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.142900
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.143000
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.143100
1,1,1,0,0,0,1,0,0,1,1,0.021586,0.143200
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.143300
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.143400
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.143500
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.143600
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.143700
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.143800
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.143900
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.144000
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.144100
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.144200
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.144300
1,1,1,0,0,0,1,0,0,1,1,0.021908,0.144400
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.144500
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.144600
1,1,1,0,0,0,1,0,0,1,1,0.022230,0.144700
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.144800
1,1,1,0,0,0,1,0,0,1,1,0.022552,0.144900
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145000
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145100
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145200
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.145300
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.145400
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145500
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.145600
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145700
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145800
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.145900
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.146000
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.146100
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.146200
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.146300
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.146400
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.146500
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.146600
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.146700
1,0,1,0,0,0,1,0,0,1,1,0.022875,0.146800
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.146900
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.147000
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.147100
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.147200
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.147300
1,0,1,0,0,0,1,0,0,1,1,0.022875,0.147400
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.147500
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.147600
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.147700
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.147800
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.147900
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.148000
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.148100
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.148200
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.148300
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.148400
1,0,1,0,0,0,1,0,0,1,1,0.021586,0.148500
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.148600
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.148700
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.148800
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.148900
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.149000
1,0,1,0,0,0,1,0,0,1,1,0.022552,0.149100
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.149200
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.149300
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.149400
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.149500
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.149600
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.149700
1,0,1,0,0,0,1,0,0,1,1,0.021908,0.149800
1,0,1,0,0,0,1,0,0,1,1,0.022230,0.149900
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.150000
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150100
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150200
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150300
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150400
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150500
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150600
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.150700
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.150800
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.150900
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.151000
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.151100
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.151200
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.151300
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.151400
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.151500
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.151600
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.151700
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.151800
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.151900
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.152000
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.152100
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.152200
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.152300
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.152400
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.152500
1,1,0,0,0,1,1,0,0,1,1,-0.002252,0.152600
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.152700
1,1,0,0,0,1,1,0,0,1,1,-0.002252,0.152800
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.152900
1,1,0,0,0,1,1,0,0,1,1,-0.001930,0.153000
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.153100
1,1,0,0,0,1,1,0,0,1,1,-0.001286,0.153200
1,1,0,0,0,1,1,0,0,1,1,-0.001608,0.153300
1,1,0,0,0,1,1,0,0,1,1,-0.000964,0.153400
